Year,Round,Abbreviation,Position,GridPosition,Target,log_grid_pos,driver_win_rate,driver_avg_pos,team_avg_pos,driver_recent_avg_pos,driver_wet_avg_pos,track_avg_pos,track_avg_sc_laps,track_rain_prob,grid_team_interaction,driver_hot_form,teammate_diff,pos_gain_avg,Event_encoded,CircuitType_encoded
2019,1,BOT,1,2,-1,1.0986122886681098,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,21.972245773362197,20.0,0.0,0.0,2,1
2019,1,HAM,2,1,1,0.6931471805599453,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,13.862943611198906,20.0,0.0,0.0,2,1
2019,1,VER,3,4,-1,1.6094379124341003,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,32.18875824868201,20.0,0.0,0.0,2,1
2019,1,VET,4,3,1,1.3862943611198906,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,27.725887222397812,20.0,0.0,0.0,2,1
2019,1,LEC,5,5,0,1.791759469228055,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,35.8351893845611,20.0,0.0,0.0,2,1
2019,1,MAG,6,7,-1,2.0794415416798357,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,41.58883083359672,20.0,0.0,0.0,2,1
2019,1,HUL,7,11,-4,2.4849066497880004,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,49.698132995760005,20.0,0.0,0.0,2,1
2019,1,RAI,8,9,-1,2.302585092994046,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,46.05170185988092,20.0,0.0,0.0,2,1
2019,1,STR,9,16,-7,2.833213344056216,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,56.66426688112432,20.0,0.0,0.0,2,1
2019,1,KVY,10,15,-5,2.772588722239781,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,55.451774444795625,20.0,0.0,0.0,2,1
2019,1,GAS,11,17,-6,2.8903717578961645,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,57.807435157923294,20.0,0.0,0.0,2,1
2019,1,NOR,12,8,4,2.1972245773362196,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,43.94449154672439,20.0,0.0,0.0,2,1
2019,1,PER,13,10,3,2.3978952727983707,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,47.95790545596741,20.0,0.0,0.0,2,1
2019,1,ALB,14,13,1,2.6390573296152584,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,52.78114659230517,20.0,0.0,0.0,2,1
2019,1,GIO,15,14,1,2.70805020110221,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,54.1610040220442,20.0,0.0,0.0,2,1
2019,1,RUS,16,19,-3,2.995732273553991,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,59.914645471079815,20.0,0.0,0.0,2,1
2019,1,KUB,17,20,-3,3.044522437723423,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,60.89044875446846,20.0,0.0,0.0,2,1
2019,1,GRO,18,6,12,1.9459101490553132,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,38.91820298110626,20.0,0.0,0.0,2,1
2019,1,RIC,19,12,7,2.5649493574615367,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,51.29898714923073,20.0,0.0,0.0,2,1
2019,1,SAI,20,18,2,2.9444389791664403,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,58.888779583328805,20.0,0.0,0.0,2,1
